seed,chunk_size,coreset_factor,repeat_factor,runtime_sec,memory,cost_sse,ari,nmi,quality,summary_size,max_chunk_summary_size,avg_update_ms,coreset_per_round,repetitions
42,1024,1.0,0.75,1.1703218000475317,21120.0,56791.09154057398,0.5956858088819841,0.7376867678763027,0.7376867678763027,240,24,116.82511994149536,3,7
77,1024,1.0,0.75,1.790787799982354,21032.0,60037.135265487974,0.6362238024696004,0.7503497862035589,0.7503497862035589,239,24,179.03240998275578,3,7
211,1024,1.0,0.75,0.9510826000478119,21120.0,58555.46681032391,0.5798105959638147,0.7523994107613133,0.7523994107613133,240,24,95.058250031434,3,7
42,1024,1.0,1.0,1.154199399985373,21120.0,59543.35588150657,0.5689886604190261,0.7272778881316075,0.7272778881316075,240,24,115.38380996789783,3,10
77,1024,1.0,1.0,1.1920382000971586,21032.0,52682.85455207655,0.5930104742046705,0.7477996207555729,0.7477996207555729,239,24,119.1626300336793,3,10
211,1024,1.0,1.0,1.1205944998655468,21120.0,48114.858968725064,0.6411837271401462,0.7829944231959279,0.7829944231959279,240,24,112.0215100236237,3,10
42,1024,1.0,1.5,1.6172893000766635,21120.0,49421.176358172015,0.6147816876118606,0.7668225133314674,0.7668225133314674,240,24,161.69187997002155,3,14
77,1024,1.0,1.5,1.6047192998230457,21120.0,63181.42893321167,0.6013437867153908,0.7491600432472225,0.7491600432472225,240,24,160.4181499686092,3,14
211,1024,1.0,1.5,1.574268899857998,21120.0,61781.3435550446,0.574200638855198,0.747878347357452,0.747878347357452,240,24,157.3876100126654,3,14
42,1024,1.5,0.75,1.0905544999986887,28160.0,79925.05042402942,0.5461216162336756,0.736253171926222,0.736253171926222,320,32,109.01226997375488,4,7
77,1024,1.5,0.75,1.1630753998178989,28160.0,53604.29651822163,0.6603887505242979,0.7887134337107924,0.7887134337107924,320,32,116.25556997023523,4,7
211,1024,1.5,0.75,1.202355199959129,28072.0,86368.08842120126,0.4599585120999825,0.6531017270023102,0.6531017270023102,319,32,120.18569998908788,4,7
42,1024,1.5,1.0,1.6755876999814063,28160.0,53761.13284897171,0.5979804823308836,0.7509483538113475,0.7509483538113475,320,32,167.50702001154423,4,10
77,1024,1.5,1.0,1.7255679999943823,28160.0,54793.77852425519,0.5954954334974593,0.7548318991262313,0.7548318991262313,320,32,172.50096995849162,4,10
211,1024,1.5,1.0,1.8760248001199216,28072.0,64192.85025046359,0.5621586844902804,0.7271685517890099,0.7271685517890099,319,32,187.55261998157948,4,10
42,1024,1.5,1.5,2.3527130000293255,28160.0,68714.71415668409,0.5314170740762977,0.694507706200554,0.694507706200554,320,32,235.22314000874758,4,14
77,1024,1.5,1.5,2.3569958999287337,28160.0,62316.047041213045,0.6041054492146157,0.7428975205013194,0.7428975205013194,320,32,235.65061001572758,4,14
211,1024,1.5,1.5,2.34245130000636,28160.0,46763.21047017544,0.6503377922670023,0.7853338219233377,0.7853338219233377,320,32,234.19432004448026,4,14
42,1024,2.0,0.75,1.4659432000480592,35112.0,79229.63973539817,0.5034224368691408,0.6583301978304923,0.6583301978304923,399,40,146.53388999868184,5,7
77,1024,2.0,0.75,1.4157833999488503,35112.0,91759.38898310545,0.506939609547068,0.6906487045636877,0.6906487045636877,399,40,141.5283300448209,5,7
211,1024,2.0,0.75,1.464810100151226,35112.0,65712.47162602542,0.668351700271436,0.7874518267251468,0.7874518267251468,399,40,146.43282000906765,5,7
42,1024,2.0,1.0,2.1175690998788923,35112.0,64169.650031277095,0.5815346047106464,0.7287194176255117,0.7287194176255117,399,40,211.70166998635978,5,10
77,1024,2.0,1.0,2.131285100011155,35200.0,68083.656848821,0.6033649898889533,0.7406202531846745,0.7406202531846745,400,40,213.0695299943909,5,10
211,1024,2.0,1.0,2.053131400141865,35112.0,48697.23058065546,0.6157746370756885,0.7482846685856697,0.7482846685856697,399,40,205.25971995666623,5,10
42,1024,2.0,1.5,2.9807170999702066,35200.0,107200.62528110427,0.49102433812092033,0.6778729119572935,0.6778729119572935,400,40,297.9740699287504,5,14
77,1024,2.0,1.5,2.9081880999729037,35112.0,67939.28191608016,0.5532406520364607,0.7180794884450735,0.7180794884450735,399,40,290.7606199849397,5,14
211,1024,2.0,1.5,2.9914007999468595,35200.0,64202.262364063805,0.5824681840960062,0.7693123305917527,0.7693123305917527,400,40,299.082009983249,5,14
