seed,chunk_size,beta,gamma,runtime_sec,memory,cost_sse,ari,nmi,quality,points_seen,dimension,num_phases,final_summary_size,final_lower_bound,avg_update_ms
42,4092,1.5,0.25,19.328486899845302,215424.0,35889.47671773816,0.6145453843869877,0.7618681220236445,0.7618681220236445,10000,10,12,2448,52.66300545379656,1.9328486899845303
77,4092,1.5,0.25,16.711939400061965,214984.0,33174.46273112108,0.6224608309609415,0.756334054409562,0.756334054409562,10000,10,12,2443,52.66300545379656,1.6711939400061966
211,4092,1.5,0.25,15.488560999976471,218680.0,33174.855148560135,0.619577394172084,0.7554862641229979,0.7554862641229979,10000,10,12,2485,52.66300545379656,1.548856099997647
42,4092,1.5,0.5,17.861051900079474,211200.0,33172.2990074894,0.6240859111122995,0.75728191010817,0.75728191010817,10000,10,12,2400,52.66300545379656,1.7861051900079474
77,4092,1.5,0.5,21.444593700114638,209000.0,33172.8716474996,0.6215284107814074,0.7562528538474004,0.7562528538474004,10000,10,12,2375,52.66300545379656,2.1444593700114636
211,4092,1.5,0.5,16.68718420015648,210232.0,33171.53537999658,0.623969715180925,0.7572764077731817,0.7572764077731817,10000,10,12,2389,52.66300545379656,1.668718420015648
42,4092,1.5,1.0,22.32253269990906,304392.0,33170.905958278556,0.6241275025470148,0.7573240589383554,0.7573240589383554,10000,10,11,3459,35.10867030253104,2.232253269990906
77,4092,1.5,1.0,21.75832700007595,298760.0,33169.90028501263,0.6236316184763774,0.7570911862140923,0.7570911862140923,10000,10,11,3395,35.10867030253104,2.175832700007595
211,4092,1.5,1.0,22.600773700047284,300168.0,33169.94567478102,0.6226480323174777,0.75666423822311,0.75666423822311,10000,10,11,3411,35.10867030253104,2.2600773700047285
42,4092,3.0,0.25,17.502620899816975,185064.0,33174.32586554454,0.6253843801522794,0.7580463028164496,0.7580463028164496,10000,10,6,2103,73.97382384730818,1.7502620899816974
77,4092,3.0,0.25,17.13600970013067,186296.0,33175.77517386906,0.6233746129976324,0.7571146067344966,0.7571146067344966,10000,10,6,2117,73.97382384730818,1.7136009700130672
211,4092,3.0,0.25,17.410632000071928,192104.0,33170.79748641691,0.6227537155169977,0.7567296611973521,0.7567296611973521,10000,10,6,2183,73.97382384730818,1.7410632000071928
42,4092,3.0,0.5,17.6525038999971,430848.0,33168.626513525924,0.6235186262010649,0.7570626104391978,0.7570626104391978,10000,10,5,4896,24.65794128243606,1.76525038999971
77,4092,3.0,0.5,17.599813900189474,426712.0,33171.52900384964,0.6261446851250141,0.7583245500888143,0.7583245500888143,10000,10,5,4849,24.65794128243606,1.7599813900189474
211,4092,3.0,0.5,17.196353799896315,429176.0,33170.461000092706,0.6246553706931243,0.757667105150222,0.757667105150222,10000,10,5,4877,24.65794128243606,1.7196353799896316
42,4092,3.0,1.0,20.309651099843904,431904.0,33172.43134683014,0.6237539963829963,0.756934883423038,0.756934883423038,10000,10,5,4908,24.65794128243606,2.0309651099843906
77,4092,3.0,1.0,20.439888899913058,429440.0,33170.75541952921,0.6201464953420925,0.7559286176389504,0.7559286176389504,10000,10,5,4880,24.65794128243606,2.0439888899913057
211,4092,3.0,1.0,18.584228600142524,428384.0,33169.65580398476,0.6234211399140712,0.7570030134170724,0.7570030134170724,10000,10,5,4868,24.65794128243606,1.8584228600142523
42,4092,5.0,0.25,27.51479410007596,457600.0,33173.84850210331,0.6253951006744816,0.7577970264441566,0.7577970264441566,10000,10,4,5200,22.831427113366725,2.751479410007596
77,4092,5.0,0.25,20.686370800016448,459536.0,33173.79943412115,0.6190866890712221,0.7554476706291263,0.7554476706291263,10000,10,4,5222,22.831427113366725,2.0686370800016447
211,4092,5.0,0.25,20.76886499999091,454608.0,33170.882497445986,0.6189356094467287,0.7553300841390547,0.7553300841390547,10000,10,4,5166,22.831427113366725,2.076886499999091
42,4092,5.0,0.5,21.31162209995091,459448.0,33171.77324513691,0.6199778240873115,0.7553287212610851,0.7553287212610851,10000,10,4,5221,22.831427113366725,2.131162209995091
77,4092,5.0,0.5,20.948681000154465,458304.0,33168.15985808495,0.624262970068048,0.7571720594814295,0.7571720594814295,10000,10,4,5208,22.831427113366725,2.0948681000154465
211,4092,5.0,0.5,20.478485699975863,454344.0,33169.3328480035,0.623133864695437,0.7568953899373146,0.7568953899373146,10000,10,4,5163,22.831427113366725,2.047848569997586
42,4092,5.0,1.0,21.053370600100607,459008.0,33169.85591182043,0.6243421716863194,0.7572447853766837,0.7572447853766837,10000,10,4,5216,22.831427113366725,2.1053370600100605
77,4092,5.0,1.0,22.194315999979153,460240.0,33167.204779577114,0.6231066377118261,0.756646821171919,0.756646821171919,10000,10,4,5230,22.831427113366725,2.2194315999979155
211,4092,5.0,1.0,21.26112850010395,456544.0,33170.61647445192,0.6197602223993294,0.7557581301460803,0.7557581301460803,10000,10,4,5188,22.831427113366725,2.126112850010395
