seed,chunk_size,beta,gamma,runtime_sec,memory,cost_sse,ari,nmi,quality,points_seen,dimension,num_phases,final_summary_size,final_lower_bound,avg_update_ms
42,4092,1.5,0.25,18.601543799974024,215424.0,35889.47671773816,0.6145453843869877,0.7618681220236445,0.7618681220236445,10000,10,12,2448,52.66300545379656,1.8601543799974025
77,4092,1.5,0.25,17.052273500012234,214984.0,33174.46273112108,0.6224608309609415,0.756334054409562,0.756334054409562,10000,10,12,2443,52.66300545379656,1.7052273500012234
211,4092,1.5,0.25,14.375862000044435,218680.0,33174.85514856013,0.619577394172084,0.7554862641229979,0.7554862641229979,10000,10,12,2485,52.66300545379656,1.4375862000044435
42,4092,1.5,0.5,16.218502799980342,211200.0,33172.2990074894,0.6240859111122995,0.75728191010817,0.75728191010817,10000,10,12,2400,52.66300545379656,1.6218502799980343
77,4092,1.5,0.5,16.69337820005603,209000.0,33172.8716474996,0.6215284107814074,0.7562528538474004,0.7562528538474004,10000,10,12,2375,52.66300545379656,1.669337820005603
211,4092,1.5,0.5,16.395526600070298,210232.0,33171.53537999658,0.623969715180925,0.7572764077731817,0.7572764077731817,10000,10,12,2389,52.66300545379656,1.6395526600070298
42,4092,1.5,1.0,18.946811000118032,304392.0,33170.905958278556,0.6241275025470148,0.7573240589383554,0.7573240589383554,10000,10,11,3459,35.10867030253104,1.8946811000118031
77,4092,1.5,1.0,17.462181800045073,298760.0,33169.90028501263,0.6236316184763774,0.7570911862140923,0.7570911862140923,10000,10,11,3395,35.10867030253104,1.7462181800045073
211,4092,1.5,1.0,18.221515499986708,300168.0,33169.94567478102,0.6226480323174777,0.75666423822311,0.75666423822311,10000,10,11,3411,35.10867030253104,1.822151549998671
42,4092,3.0,0.25,14.741528100101277,185064.0,33174.32586554454,0.6253843801522794,0.7580463028164496,0.7580463028164496,10000,10,6,2103,73.97382384730818,1.4741528100101278
77,4092,3.0,0.25,13.80460590007715,186296.0,33175.77517386906,0.6233746129976324,0.7571146067344966,0.7571146067344966,10000,10,6,2117,73.97382384730818,1.380460590007715
211,4092,3.0,0.25,16.499386199982837,192104.0,33170.797486416915,0.6227537155169977,0.7567296611973521,0.7567296611973521,10000,10,6,2183,73.97382384730818,1.6499386199982837
42,4092,3.0,0.5,18.161356100114062,430848.0,33168.626513525924,0.6235186262010649,0.7570626104391978,0.7570626104391978,10000,10,5,4896,24.65794128243606,1.8161356100114063
77,4092,3.0,0.5,15.58277429989539,426712.0,33171.52900384964,0.6261446851250141,0.7583245500888143,0.7583245500888143,10000,10,5,4849,24.65794128243606,1.558277429989539
211,4092,3.0,0.5,15.206278500147164,429176.0,33170.461000092706,0.6246553706931243,0.757667105150222,0.757667105150222,10000,10,5,4877,24.65794128243606,1.5206278500147163
42,4092,3.0,1.0,15.312581100035459,431904.0,33172.43134683014,0.6237539963829963,0.756934883423038,0.756934883423038,10000,10,5,4908,24.65794128243606,1.5312581100035458
77,4092,3.0,1.0,15.970284700160846,429440.0,33170.75541952921,0.6201464953420925,0.7559286176389504,0.7559286176389504,10000,10,5,4880,24.65794128243606,1.5970284700160846
211,4092,3.0,1.0,15.61847859993577,428384.0,33169.65580398476,0.6234211399140712,0.7570030134170724,0.7570030134170724,10000,10,5,4868,24.65794128243606,1.561847859993577
42,4092,5.0,0.25,18.13277590018697,457600.0,33173.84850210331,0.6253951006744816,0.7577970264441566,0.7577970264441566,10000,10,4,5200,22.831427113366725,1.813277590018697
77,4092,5.0,0.25,18.73128639999777,459536.0,33173.79943412116,0.6190866890712221,0.7554476706291263,0.7554476706291263,10000,10,4,5222,22.831427113366725,1.873128639999777
211,4092,5.0,0.25,17.85342269996181,454608.0,33170.882497445986,0.6189356094467287,0.7553300841390547,0.7553300841390547,10000,10,4,5166,22.831427113366725,1.7853422699961812
42,4092,5.0,0.5,19.155844899825752,459448.0,33171.77324513691,0.6199778240873115,0.7553287212610851,0.7553287212610851,10000,10,4,5221,22.831427113366725,1.9155844899825751
77,4092,5.0,0.5,20.418064599856734,458304.0,33168.15985808495,0.624262970068048,0.7571720594814295,0.7571720594814295,10000,10,4,5208,22.831427113366725,2.0418064599856733
211,4092,5.0,0.5,21.819411400007084,454344.0,33169.3328480035,0.623133864695437,0.7568953899373146,0.7568953899373146,10000,10,4,5163,22.831427113366725,2.1819411400007085
42,4092,5.0,1.0,20.753916000016034,459008.0,33169.85591182043,0.6243421716863194,0.7572447853766837,0.7572447853766837,10000,10,4,5216,22.831427113366725,2.0753916000016033
77,4092,5.0,1.0,21.105341900140047,460240.0,33167.20477957711,0.6231066377118261,0.756646821171919,0.756646821171919,10000,10,4,5230,22.831427113366725,2.110534190014005
211,4092,5.0,1.0,22.6938489000313,456544.0,33170.61647445192,0.6197602223993294,0.7557581301460803,0.7557581301460803,10000,10,4,5188,22.831427113366725,2.26938489000313
