seed,chunk_size,m_factor,runtime_sec,memory,cost_sse,ari,nmi,quality,summary_points,m_summary,levels_used,points_seen,avg_update_ms
42,4096,1.0,0.5293256999866571,5632.0,21635.56788605897,0.4620056294311731,0.692792175128664,0.692792175128664,64,32,2,10000,164.06470000705062
77,4096,1.0,0.4211022999952547,5632.0,22107.64004143318,0.46074054475381077,0.6884347565075493,0.6884347565075493,64,32,2,10000,121.18156667565927
211,4096,1.0,0.5112872999743558,5632.0,22485.03806940442,0.453558324558412,0.6858682045762353,0.6858682045762353,64,32,2,10000,146.37659998455396
42,4096,2.0,0.36184629998751916,5632.0,21635.56788605897,0.4620056294311731,0.692792175128664,0.692792175128664,64,32,2,10000,113.87296667089686
77,4096,2.0,0.7135438999976031,5632.0,22107.64004143318,0.46074054475381077,0.6884347565075493,0.6884347565075493,64,32,2,10000,214.25796667851196
211,4096,2.0,0.39492459999746643,5632.0,22485.03806940442,0.453558324558412,0.6858682045762353,0.6858682045762353,64,32,2,10000,117.28466665954329
42,4096,3.0,0.7076749000116251,7392.0,22284.210358432578,0.46322039203635335,0.6926489866988904,0.6926489866988904,84,42,2,10000,191.9628000080896
77,4096,3.0,0.37634740001522005,7392.0,21640.31043078137,0.4680026634689366,0.6864017242763913,0.6864017242763913,84,42,2,10000,112.79216666783516
211,4096,3.0,0.6451709999819286,7392.0,22165.802945444037,0.47247158967436154,0.6895866968097418,0.6895866968097418,84,42,2,10000,209.79289999619746
42,4096,4.0,0.6038073000090662,9856.0,21160.021562862083,0.4592075136657789,0.6914602834094961,0.6914602834094961,112,56,2,10000,185.70336666501439
77,4096,4.0,0.6399780999927316,9856.0,21516.189519492338,0.4457333563194137,0.6895274300276395,0.6895274300276395,112,56,2,10000,206.48803333945884
211,4096,4.0,0.7206154000014067,9856.0,22336.440489474026,0.4600957995218347,0.6853540967407352,0.6853540967407352,112,56,2,10000,229.7805000077157
42,4096,5.0,0.4406711000192445,12320.0,21000.86827416513,0.44812471564116324,0.6885461572725671,0.6885461572725671,140,70,2,10000,143.4050999911657
77,4096,5.0,0.7533762000093702,12320.0,22309.83064585735,0.45640777919515724,0.6842528581750834,0.6842528581750834,140,70,2,10000,230.7718999994298
211,4096,5.0,0.6987767000100575,12320.0,21167.598182504033,0.45745147290288174,0.6937126277826859,0.6937126277826859,140,70,2,10000,224.66750001573624
