algorithm,ari_mean,ari_std,cost_ratio_vs_kmeans_mean,cost_ratio_vs_kmeans_std,cost_sse_mean,cost_sse_std,d,dataset,k,memory_mean,memory_std,n,nmi_mean,nmi_std,num_seeds,quality_loss_pct_vs_kmeans_mean,quality_loss_pct_vs_kmeans_std,runtime_sec_mean,runtime_sec_std,sweep_id
KMeans(sk),0.94197,0.09517,1.0,0.0,425713.16666,46271.13291,10.0,blobs,8.0,440320.0,0.0,10000.0,0.97465,0.03655,3.0,0.0,0.0,0.23102,0.04259,Kmeans_sweep
[Ailon2009] Streaming k-means,0.82146,0.03629,1.97627,0.11265,838449.91666,55320.16698,10.0,blobs,8.0,2304.0,0.0,10000.0,0.90657,0.03151,3.0,97.62771,11.26525,1.04405,0.06927,Kmeans_sweep
[Boutsidis2014] RandomProj Streaming,0.79427,0.02654,1.12399,0.10822,475312.71638,13836.78572,10.0,blobs,8.0,1424.0,0.0,10000.0,0.88576,0.02288,3.0,12.39988,10.82273,0.23252,0.06478,Kmeans_sweep
[Guha2002] Streaming k-means,0.99688,0.00034,0.94427,0.09659,399010.7265,14.88876,10.0,blobs,8.0,2816.0,0.0,10000.0,0.99573,0.00042,3.0,-5.57247,9.6594,0.83622,0.39815,Kmeans_sweep
KMeans(sk),0.61756,0.00302,1.0,0.0,34071.83463,1560.57232,10.0,anisotropic,8.0,440320.0,0.0,10000.0,0.75851,0.00533,3.0,0.0,0.0,0.19401,0.05522,Kmeans_sweep
[Ailon2009] Streaming k-means,0.58779,0.00244,1.59501,0.02156,54330.79036,2082.48543,10.0,anisotropic,8.0,2304.0,0.0,10000.0,0.74828,0.00733,3.0,59.50153,2.15698,0.63641,0.15719,Kmeans_sweep
[Boutsidis2014] RandomProj Streaming,0.60212,0.03517,1.10703,0.04137,37683.6725,962.41462,10.0,anisotropic,8.0,1424.0,0.0,10000.0,0.75891,0.02161,3.0,10.70379,4.13717,0.20215,0.09023,Kmeans_sweep
[Guha2002] Streaming k-means,0.6074,0.00862,1.00279,0.05255,34113.81809,461.30261,10.0,anisotropic,8.0,2816.0,0.0,10000.0,0.75045,0.00495,3.0,0.27934,5.25577,1.01407,0.28864,Kmeans_sweep
KMeans(sk),1.0,0.0,1.0,0.0,623552.4375,0.0,10.0,high_dim_sparseish,8.0,440320.0,0.0,10000.0,1.0,0.0,3.0,0.0,0.0,0.18505,0.03648,Kmeans_sweep
[Ailon2009] Streaming k-means,0.77643,0.11096,2.65749,0.55397,1657087.75,345433.29553,10.0,high_dim_sparseish,8.0,2304.0,0.0,10000.0,0.8758,0.07232,3.0,165.74954,55.39763,0.96678,0.06197,Kmeans_sweep
[Boutsidis2014] RandomProj Streaming,0.91544,0.13035,1.19782,0.34241,746904.326,213514.33787,10.0,high_dim_sparseish,8.0,1424.0,0.0,10000.0,0.94611,0.07047,3.0,19.78211,34.2416,0.21745,0.02012,Kmeans_sweep
[Guha2002] Streaming k-means,1.0,0.0,1.0,0.0,623552.54842,0.16109,10.0,high_dim_sparseish,8.0,2816.0,0.0,10000.0,1.0,0.0,3.0,1e-05,2e-05,0.8928,0.05922,Kmeans_sweep
KMeans(sk),0.97337,0.04611,1.0,0.0,3286981.5,499318.20488,25.0,blobs,16.0,3121600.0,0.0,30000.0,0.99212,0.01363,3.0,0.0,0.0,0.72792,0.10728,Kmeans_sweep
[Ailon2009] Streaming k-means,0.77095,0.09392,3.25632,1.10543,10452845.33333,2650783.64564,25.0,blobs,16.0,20736.0,0.0,30000.0,0.88497,0.04871,3.0,225.63295,110.54339,4.46642,0.49041,Kmeans_sweep
[Boutsidis2014] RandomProj Streaming,0.9164,0.0823,1.3454,0.55365,4258228.89128,1326930.14246,25.0,blobs,16.0,4968.0,0.0,30000.0,0.96585,0.0337,3.0,34.54074,55.36512,0.52744,0.04866,Kmeans_sweep
[Guha2002] Streaming k-means,1.0,0.0,0.92538,0.12923,2998699.89767,0.01604,25.0,blobs,16.0,9984.0,0.0,30000.0,1.0,0.0,3.0,-7.46158,12.92383,2.95516,0.12611,Kmeans_sweep
KMeans(sk),0.40617,0.01008,1.0,0.0,79951.18229,797.54133,25.0,anisotropic,16.0,3121600.0,0.0,30000.0,0.643,0.00571,3.0,0.0,0.0,1.16836,0.14617,Kmeans_sweep
[Ailon2009] Streaming k-means,0.39984,0.03082,1.55701,0.22121,124469.36197,17476.5334,25.0,anisotropic,16.0,20736.0,0.0,30000.0,0.63198,0.01559,3.0,55.70105,22.1214,4.86522,0.08493,Kmeans_sweep
[Boutsidis2014] RandomProj Streaming,0.37526,0.03346,1.11599,0.01079,89219.52689,107.61421,25.0,anisotropic,16.0,4968.0,0.0,30000.0,0.61921,0.01453,3.0,11.59962,1.07905,0.58868,0.06544,Kmeans_sweep
[Guha2002] Streaming k-means,0.41814,0.01423,1.05969,0.03421,84709.31234,2127.96432,25.0,anisotropic,16.0,9984.0,0.0,30000.0,0.64938,0.00397,3.0,5.96926,3.42198,3.94919,0.53391,Kmeans_sweep
KMeans(sk),0.91443,0.00301,1.0,0.0,2159797.33333,123474.11643,25.0,high_dim_sparseish,16.0,3121600.0,0.0,30000.0,0.97056,0.00217,3.0,0.0,0.0,0.81784,0.30358,Kmeans_sweep
[Ailon2009] Streaming k-means,0.70698,0.04112,2.18069,0.19251,4703108.0,391737.39231,25.0,high_dim_sparseish,16.0,20736.0,0.0,30000.0,0.83947,0.0223,3.0,118.06935,19.25151,5.22159,0.66589,Kmeans_sweep
[Boutsidis2014] RandomProj Streaming,0.78566,0.06914,1.09949,0.06445,2376425.37962,221012.71292,25.0,high_dim_sparseish,16.0,4968.0,0.0,30000.0,0.8744,0.04421,3.0,9.94909,6.4456,0.85378,0.34819,Kmeans_sweep
[Guha2002] Streaming k-means,0.99234,6e-05,0.90014,0.05239,1939820.26018,79.93863,25.0,high_dim_sparseish,16.0,9984.0,0.0,30000.0,0.99325,5e-05,3.0,-9.98546,5.23968,3.816,0.35492,Kmeans_sweep
KMeans(sk),0.64514,0.0,1.0,0.0,140.90153,0.0,4.0,real_iris,3.0,3048.0,0.0,150.0,0.66128,0.0,3.0,0.0,0.0,0.06593,0.01837,Kmeans_sweep
[Ailon2009] Streaming k-means,0.66608,0.13701,1.65289,0.42659,232.89565,60.10831,4.0,real_iris,3.0,144.0,0.0,150.0,0.71656,0.07545,3.0,65.28964,42.65979,0.07917,0.00456,Kmeans_sweep
[Boutsidis2014] RandomProj Streaming,0.61834,0.08685,1.06823,0.06613,150.51589,9.3183,4.0,real_iris,3.0,232.0,0.0,150.0,0.66993,0.05062,3.0,6.82346,6.61334,0.11348,0.00904,Kmeans_sweep
[Guha2002] Streaming k-means,0.59526,0.00507,0.99473,0.00068,140.15971,0.09623,4.0,real_iris,3.0,1280.0,0.0,150.0,0.64439,0.00301,3.0,-0.52648,0.06829,0.25313,0.01057,Kmeans_sweep
KMeans(sk),0.09241,0.03972,1.0,0.0,2199185.5,50081.34747,54.0,real_covertype,7.0,11001512.0,0.0,50000.0,0.17211,0.02383,3.0,0.0,0.0,1.79769,0.65078,Kmeans_sweep
