algorithm,ari,cost_ratio_vs_kmeans,cost_sse,d,dataset,extra__algorithm,extra__avg_update_ms,extra__beta,extra__c2,extra__chunk_size,extra__coreset_factor,extra__coreset_per_round,extra__cost_is_approx,extra__d,extra__dimension,extra__eps,extra__final_lower_bound,extra__final_summary_size,extra__gamma,extra__levels_used,extra__m_factor,extra__m_summary,extra__max_chunk_summary_size,extra__mode,extra__num_phases,extra__peak_mem_bytes,extra__phase_summaries,extra__points_seen,extra__r,extra__repeat_factor,extra__repetitions,extra__stream_is_single_pass,extra__summary_points,extra__summary_size,extra__throughput_pts_per_sec,k,memory,n,nmi,quality_loss_pct_vs_kmeans,runtime_sec,seed,stream_model,sweep_id
KMeans(sk),0.99703,1.0,398998.6875,10.0,blobs,,,,,,,,,,,,,,,,,,,,,6805339.0,,10000.0,,,,,,,146927.4531,8.0,440320.0,10000.0,0.99588,0.0,0.06806,42.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.98573,1.62347,647762.875,10.0,blobs,Ailon2009 tuned (no refinement),583.81074,,,8192.0,1.0,3.0,,,,,,,,,,,24.0,,,22564175.0,,10000.0,,1.0,10.0,,,48.0,8548.09203,8.0,2304.0,10000.0,0.98367,62.34711,1.16985,42.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.83999,1.19736,477746.97847,10.0,blobs,,35.27369,,2.0,8192.0,,,0.0,10.0,,2.5,,,,,,,,batch_stream_wrapper,,13527541.0,,10000.0,10.0,,,0.0,,,118112.70077,8.0,1424.0,10000.0,0.90814,19.73647,0.08466,42.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99703,1.0,399001.45559,10.0,blobs,,114.8401,,,8192.0,,,,,,,,,,1.0,3.0,32.0,,,,13528106.0,,10000.0,,,,,32.0,,37269.3632,8.0,2816.0,10000.0,0.99588,0.00069,0.26831,42.0,insertion-only,Kmeans_sweep
[16]Charikar_PLS_KMeans,0.99658,1.00062,399246.99511,10.0,blobs,,11.82983,1.5,,8192.0,,,,,10.0,,7621.93836,1872.0,0.25,,,,,,14.0,14484999.0,"[{'phase': 1, 'Li': 39.16328062985013, 'raw_start_index': 0, 'raw_consumed': 2614, 'summary_in_size': 0, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 0.47945611021620754, 'median_limit': 2614, 'cost_limit': 1253.224980155204, 'winner_processed_items': 2614, 'winner_raw_points_read': 2614, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 2, 'Li': 58.74492094477519, 'raw_start_index': 2614, 'raw_consumed': 0, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 0.7191841653243113, 'median_limit': 2614, 'cost_limit': 1879.837470232806, 'winner_processed_items': 2614, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 3, 'Li': 88.11738141716279, 'raw_start_index': 2615, 'raw_consumed': 0, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 1.0787762479864669, 'median_limit': 2614, 'cost_limit': 2819.7562053492093, 'winner_processed_items': 2614, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 4, 'Li': 132.17607212574418, 'raw_start_index': 2616, 'raw_consumed': 0, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 1.6181643719797003, 'median_limit': 2614, 'cost_limit': 4229.634308023814, 'winner_processed_items': 2614, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 5, 'Li': 198.26410818861626, 'raw_start_index': 2617, 'raw_consumed': 0, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 2.4272465579695504, 'median_limit': 2614, 'cost_limit': 6344.45146203572, 'winner_processed_items': 2615, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 2.3383569082551503, 'num_parallel_runs': 19}, {'phase': 6, 'Li': 297.39616228292437, 'raw_start_index': 2618, 'raw_consumed': 0, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 3.6408698369543253, 'median_limit': 2614, 'cost_limit': 9516.67719305358, 'winner_processed_items': 2615, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 3.419335558926548, 'num_parallel_runs': 19}, {'phase': 7, 'Li': 446.09424342438655, 'raw_start_index': 2619, 'raw_consumed': 1, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 5.461304755431488, 'median_limit': 2614, 'cost_limit': 14275.01578958037, 'winner_processed_items': 2616, 'winner_raw_points_read': 1, 'winner_num_centers': 2614, 'winner_cost': 10.086608313189743, 'num_parallel_runs': 19}, {'phase': 8, 'Li': 669.1413651365798, 'raw_start_index': 2620, 'raw_consumed': 19, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 8.191957133147232, 'median_limit': 2614, 'cost_limit': 21412.523684370553, 'winner_processed_items': 2633, 'winner_raw_points_read': 19, 'winner_num_centers': 2614, 'winner_cost': 119.51469095926524, 'num_parallel_runs': 19}, {'phase': 9, 'Li': 1003.7120477048697, 'raw_start_index': 2639, 'raw_consumed': 85, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 12.287935699720848, 'median_limit': 2614, 'cost_limit': 32118.785526555832, 'winner_processed_items': 2699, 'winner_raw_points_read': 85, 'winner_num_centers': 2614, 'winner_cost': 751.0270522047608, 'num_parallel_runs': 19}, {'phase': 10, 'Li': 1505.5680715573046, 'raw_start_index': 2724, 'raw_consumed': 306, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 18.43190354958127, 'median_limit': 2614, 'cost_limit': 48178.17828983375, 'winner_processed_items': 2920, 'winner_raw_points_read': 306, 'winner_num_centers': 2614, 'winner_cost': 3703.788190008957, 'num_parallel_runs': 19}, {'phase': 11, 'Li': 2258.352107335957, 'raw_start_index': 3030, 'raw_consumed': 836, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 27.64785532437191, 'median_limit': 2614, 'cost_limit': 72267.26743475063, 'winner_processed_items': 3450, 'winner_raw_points_read': 836, 'winner_num_centers': 2614, 'winner_cost': 13149.035444277057, 'num_parallel_runs': 19}, {'phase': 12, 'Li': 3387.5281610039356, 'raw_start_index': 3866, 'raw_consumed': 1834, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 41.47178298655786, 'median_limit': 2614, 'cost_limit': 108400.90115212594, 'winner_processed_items': 4448, 'winner_raw_points_read': 1834, 'winner_num_centers': 2614, 'winner_cost': 34089.04611484878, 'num_parallel_runs': 19}, {'phase': 13, 'Li': 5081.292241505904, 'raw_start_index': 5700, 'raw_consumed': 3217, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 62.207674479836804, 'median_limit': 2614, 'cost_limit': 162601.35172818892, 'winner_processed_items': 5831, 'winner_raw_points_read': 3217, 'winner_num_centers': 2614, 'winner_cost': 64487.53430782056, 'num_parallel_runs': 19}, {'phase': 14, 'Li': 7621.938362258856, 'raw_start_index': 8917, 'raw_consumed': 1083, 'summary_in_size': 2614, 'summary_out_size': 1872, 'chunk_size': 8192, 'facility_cost': 93.3115117197552, 'median_limit': 2614, 'cost_limit': 243902.02759228338, 'winner_processed_items': 3697, 'winner_raw_points_read': 1083, 'winner_num_centers': 1872, 'winner_cost': 48679.72964800923, 'num_parallel_runs': 19}]",10000.0,,,,,,,84.532,8.0,164736.0,10000.0,0.99524,0.06223,118.29839,42.0,insertion-only,Kmeans_sweep
KMeans(sk),0.83207,1.0,479142.4375,10.0,blobs,,,,,,,,,,,,,,,,,,,,,6796452.0,,10000.0,,,,,,,135570.42611,8.0,440320.0,10000.0,0.93243,0.0,0.07376,77.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.81614,1.61572,774161.5,10.0,blobs,Ailon2009 tuned (no refinement),431.60759,,,8192.0,1.0,3.0,,,,,,,,,,,24.0,,,22564277.0,,10000.0,,1.0,10.0,,,48.0,11570.51051,8.0,2304.0,10000.0,0.90948,61.5723,0.86426,77.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.806,1.00307,480616.18839,10.0,blobs,,22.0449,,2.0,8192.0,,,0.0,10.0,,2.5,,,,,,,,batch_stream_wrapper,,13527889.0,,10000.0,10.0,,,0.0,,,181893.25411,8.0,1424.0,10000.0,0.89867,0.30758,0.05497,77.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99681,0.83274,399002.42079,10.0,blobs,,140.06069,,,8192.0,,,,,,,,,,1.0,3.0,32.0,,,,13526908.0,,10000.0,,,,,32.0,,29715.56263,8.0,2816.0,10000.0,0.99562,-16.72571,0.33652,77.0,insertion-only,Kmeans_sweep
[16]Charikar_PLS_KMeans,0.99658,0.83326,399250.90057,10.0,blobs,,11.9828,1.5,,8192.0,,,,,10.0,,7621.93836,1867.0,0.25,,,,,,14.0,14485645.0,"[{'phase': 1, 'Li': 39.16328062985013, 'raw_start_index': 0, 'raw_consumed': 2614, 'summary_in_size': 0, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 0.47945611021620754, 'median_limit': 2614, 'cost_limit': 1253.224980155204, 'winner_processed_items': 2614, 'winner_raw_points_read': 2614, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 2, 'Li': 58.74492094477519, 'raw_start_index': 2614, 'raw_consumed': 0, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 0.7191841653243113, 'median_limit': 2614, 'cost_limit': 1879.837470232806, 'winner_processed_items': 2614, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 3, 'Li': 88.11738141716279, 'raw_start_index': 2615, 'raw_consumed': 0, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 1.0787762479864669, 'median_limit': 2614, 'cost_limit': 2819.7562053492093, 'winner_processed_items': 2614, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 4, 'Li': 132.17607212574418, 'raw_start_index': 2616, 'raw_consumed': 0, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 1.6181643719797003, 'median_limit': 2614, 'cost_limit': 4229.634308023814, 'winner_processed_items': 2614, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 5, 'Li': 198.26410818861626, 'raw_start_index': 2617, 'raw_consumed': 0, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 2.4272465579695504, 'median_limit': 2614, 'cost_limit': 6344.45146203572, 'winner_processed_items': 2615, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 2.3383569082551503, 'num_parallel_runs': 19}, {'phase': 6, 'Li': 297.39616228292437, 'raw_start_index': 2618, 'raw_consumed': 0, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 3.6408698369543253, 'median_limit': 2614, 'cost_limit': 9516.67719305358, 'winner_processed_items': 2615, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 3.419335558926548, 'num_parallel_runs': 19}, {'phase': 7, 'Li': 446.09424342438655, 'raw_start_index': 2619, 'raw_consumed': 1, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 5.461304755431488, 'median_limit': 2614, 'cost_limit': 14275.01578958037, 'winner_processed_items': 2616, 'winner_raw_points_read': 1, 'winner_num_centers': 2614, 'winner_cost': 8.341733702996862, 'num_parallel_runs': 19}, {'phase': 8, 'Li': 669.1413651365798, 'raw_start_index': 2620, 'raw_consumed': 17, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 8.191957133147232, 'median_limit': 2614, 'cost_limit': 21412.523684370553, 'winner_processed_items': 2631, 'winner_raw_points_read': 17, 'winner_num_centers': 2614, 'winner_cost': 106.22241080521559, 'num_parallel_runs': 19}, {'phase': 9, 'Li': 1003.7120477048697, 'raw_start_index': 2637, 'raw_consumed': 81, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 12.287935699720848, 'median_limit': 2614, 'cost_limit': 32118.785526555832, 'winner_processed_items': 2695, 'winner_raw_points_read': 81, 'winner_num_centers': 2614, 'winner_cost': 727.0572996137707, 'num_parallel_runs': 19}, {'phase': 10, 'Li': 1505.5680715573046, 'raw_start_index': 2718, 'raw_consumed': 295, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 18.43190354958127, 'median_limit': 2614, 'cost_limit': 48178.17828983375, 'winner_processed_items': 2909, 'winner_raw_points_read': 295, 'winner_num_centers': 2614, 'winner_cost': 3552.340468362355, 'num_parallel_runs': 19}, {'phase': 11, 'Li': 2258.352107335957, 'raw_start_index': 3013, 'raw_consumed': 885, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 27.64785532437191, 'median_limit': 2614, 'cost_limit': 72267.26743475063, 'winner_processed_items': 3499, 'winner_raw_points_read': 885, 'winner_num_centers': 2614, 'winner_cost': 14016.700168142512, 'num_parallel_runs': 19}, {'phase': 12, 'Li': 3387.5281610039356, 'raw_start_index': 3898, 'raw_consumed': 1734, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 41.47178298655786, 'median_limit': 2614, 'cost_limit': 108400.90115212594, 'winner_processed_items': 4348, 'winner_raw_points_read': 1734, 'winner_num_centers': 2614, 'winner_cost': 31996.57078038234, 'num_parallel_runs': 19}, {'phase': 13, 'Li': 5081.292241505904, 'raw_start_index': 5632, 'raw_consumed': 3180, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 62.207674479836804, 'median_limit': 2614, 'cost_limit': 162601.35172818892, 'winner_processed_items': 5794, 'winner_raw_points_read': 3180, 'winner_num_centers': 2614, 'winner_cost': 63891.711863839155, 'num_parallel_runs': 19}, {'phase': 14, 'Li': 7621.938362258856, 'raw_start_index': 8812, 'raw_consumed': 1188, 'summary_in_size': 2614, 'summary_out_size': 1867, 'chunk_size': 8192, 'facility_cost': 93.3115117197552, 'median_limit': 2614, 'cost_limit': 243902.02759228338, 'winner_processed_items': 3802, 'winner_raw_points_read': 1188, 'winner_num_centers': 1867, 'winner_cost': 49637.74235831388, 'num_parallel_runs': 19}]",10000.0,,,,,,,83.45288,8.0,164296.0,10000.0,0.99538,-16.67385,119.82808,77.0,insertion-only,Kmeans_sweep
KMeans(sk),0.99681,1.0,398998.3125,10.0,blobs,,,,,,,,,,,,,,,,,,,,,6796892.0,,10000.0,,,,,,,218194.83052,8.0,440320.0,10000.0,0.99562,0.0,0.04583,211.0,insertion-only,Kmeans_sweep
